,population,access_rate,beta,iteration,pfprunder5,pfpr2to10,pfprall
cal_10_0.55_0.001_monthly_data_0,10.0,0.55,0.001,0.0,0.0,0.0,0.0
cal_10_0.55_0.001_monthly_data_1,10.0,0.55,0.001,1.0,0.0,0.0,0.0
cal_10_0.55_0.001_monthly_data_2,10.0,0.55,0.001,2.0,0.0,0.0,0.0
cal_10_0.55_0.001_monthly_data_3,10.0,0.55,0.001,3.0,0.0,0.0,0.0
cal_10_0.55_0.001_monthly_data_4,10.0,0.55,0.001,4.0,0.0,0.0,0.0
cal_10_0.55_0.001_monthly_data_5,10.0,0.55,0.001,5.0,0.0,0.0,0.0
cal_10_0.55_0.001_monthly_data_6,10.0,0.55,0.001,6.0,0.0,0.0,0.0
cal_10_0.55_0.001_monthly_data_7,10.0,0.55,0.001,7.0,0.0,0.0,0.0
cal_10_0.55_0.001_monthly_data_8,10.0,0.55,0.001,8.0,0.0,0.0,0.0
cal_10_0.55_0.001_monthly_data_9,10.0,0.55,0.001,9.0,0.0,0.0,0.0
cal_10_0.55_0.005_monthly_data_0,10.0,0.55,0.005,0.0,0.0,0.0,0.0
cal_10_0.55_0.005_monthly_data_1,10.0,0.55,0.005,1.0,0.0,0.0,0.0
cal_10_0.55_0.005_monthly_data_2,10.0,0.55,0.005,2.0,0.0,0.0,0.0
cal_10_0.55_0.005_monthly_data_3,10.0,0.55,0.005,3.0,0.0,0.0,0.0
cal_10_0.55_0.005_monthly_data_4,10.0,0.55,0.005,4.0,0.0,0.0,0.0
cal_10_0.55_0.005_monthly_data_5,10.0,0.55,0.005,5.0,0.0,0.0,0.0
cal_10_0.55_0.005_monthly_data_6,10.0,0.55,0.005,6.0,0.0,0.0,0.0
cal_10_0.55_0.005_monthly_data_7,10.0,0.55,0.005,7.0,0.0,0.0,0.0
cal_10_0.55_0.005_monthly_data_8,10.0,0.55,0.005,8.0,0.0,0.0,0.0
cal_10_0.55_0.005_monthly_data_9,10.0,0.55,0.005,9.0,0.0,0.0,0.0
cal_10_0.55_0.01_monthly_data_0,10.0,0.55,0.01,0.0,0.0,0.0,0.0
cal_10_0.55_0.01_monthly_data_1,10.0,0.55,0.01,1.0,0.0,0.0,0.0
cal_10_0.55_0.01_monthly_data_2,10.0,0.55,0.01,2.0,0.0,0.0,0.0
cal_10_0.55_0.01_monthly_data_3,10.0,0.55,0.01,3.0,0.0,0.0,0.0
cal_10_0.55_0.01_monthly_data_4,10.0,0.55,0.01,4.0,0.0,0.0,0.0
cal_10_0.55_0.01_monthly_data_5,10.0,0.55,0.01,5.0,0.0,0.0,0.0
cal_10_0.55_0.01_monthly_data_6,10.0,0.55,0.01,6.0,0.0,0.0,0.0
cal_10_0.55_0.01_monthly_data_7,10.0,0.55,0.01,7.0,0.0,0.0,0.0
cal_10_0.55_0.01_monthly_data_8,10.0,0.55,0.01,8.0,0.0,0.0,0.0
cal_10_0.55_0.01_monthly_data_9,10.0,0.55,0.01,9.0,0.0,0.0,0.0
cal_10_0.65_0.001_monthly_data_0,10.0,0.65,0.001,0.0,0.0,0.0,0.0
cal_10_0.65_0.001_monthly_data_1,10.0,0.65,0.001,1.0,0.0,0.0,0.0
cal_10_0.65_0.001_monthly_data_2,10.0,0.65,0.001,2.0,0.0,0.0,0.0
cal_10_0.65_0.001_monthly_data_3,10.0,0.65,0.001,3.0,0.0,0.0,0.0
cal_10_0.65_0.001_monthly_data_4,10.0,0.65,0.001,4.0,0.0,0.0,0.0
cal_10_0.65_0.001_monthly_data_5,10.0,0.65,0.001,5.0,0.0,0.0,0.0
cal_10_0.65_0.001_monthly_data_6,10.0,0.65,0.001,6.0,0.0,0.0,0.0
cal_10_0.65_0.001_monthly_data_7,10.0,0.65,0.001,7.0,0.0,0.0,0.0
cal_10_0.65_0.001_monthly_data_8,10.0,0.65,0.001,8.0,0.0,0.0,0.0
cal_10_0.65_0.001_monthly_data_9,10.0,0.65,0.001,9.0,0.0,0.0,0.0
cal_10_0.65_0.005_monthly_data_0,10.0,0.65,0.005,0.0,0.0,0.0,0.0
cal_10_0.65_0.005_monthly_data_1,10.0,0.65,0.005,1.0,0.0,0.0,0.0
cal_10_0.65_0.005_monthly_data_2,10.0,0.65,0.005,2.0,0.0,0.0,0.0
cal_10_0.65_0.005_monthly_data_3,10.0,0.65,0.005,3.0,0.0,0.0,0.0
cal_10_0.65_0.005_monthly_data_4,10.0,0.65,0.005,4.0,0.0,0.0,0.0
cal_10_0.65_0.005_monthly_data_5,10.0,0.65,0.005,5.0,0.0,0.0,0.0
cal_10_0.65_0.005_monthly_data_6,10.0,0.65,0.005,6.0,0.0,0.0,0.0
cal_10_0.65_0.005_monthly_data_7,10.0,0.65,0.005,7.0,0.0,0.0,0.0
cal_10_0.65_0.005_monthly_data_8,10.0,0.65,0.005,8.0,0.0,0.0,0.0
cal_10_0.65_0.005_monthly_data_9,10.0,0.65,0.005,9.0,0.0,0.0,0.0
cal_10_0.65_0.01_monthly_data_0,10.0,0.65,0.01,0.0,0.0,0.0,0.0
cal_10_0.65_0.01_monthly_data_1,10.0,0.65,0.01,1.0,0.0,0.0,0.0
cal_10_0.65_0.01_monthly_data_2,10.0,0.65,0.01,2.0,0.0,0.0,0.0
cal_10_0.65_0.01_monthly_data_3,10.0,0.65,0.01,3.0,0.0,0.0,0.0
cal_10_0.65_0.01_monthly_data_4,10.0,0.65,0.01,4.0,0.0,0.0,0.0
cal_10_0.65_0.01_monthly_data_5,10.0,0.65,0.01,5.0,0.0,0.0,0.0
cal_10_0.65_0.01_monthly_data_6,10.0,0.65,0.01,6.0,0.0,0.0,0.0
cal_10_0.65_0.01_monthly_data_7,10.0,0.65,0.01,7.0,0.0,0.0,0.0
cal_10_0.65_0.01_monthly_data_8,10.0,0.65,0.01,8.0,0.0,0.0,0.0
cal_10_0.65_0.01_monthly_data_9,10.0,0.65,0.01,9.0,0.0,0.0,0.0
cal_10_0.75_0.001_monthly_data_0,10.0,0.75,0.001,0.0,0.0,0.0,0.0
cal_10_0.75_0.001_monthly_data_1,10.0,0.75,0.001,1.0,0.0,0.0,0.0
cal_10_0.75_0.001_monthly_data_2,10.0,0.75,0.001,2.0,0.0,0.0,0.0
cal_10_0.75_0.001_monthly_data_3,10.0,0.75,0.001,3.0,0.0,0.0,0.0
cal_10_0.75_0.001_monthly_data_4,10.0,0.75,0.001,4.0,0.0,0.0,0.0
cal_10_0.75_0.001_monthly_data_5,10.0,0.75,0.001,5.0,0.0,0.0,0.0
cal_10_0.75_0.001_monthly_data_6,10.0,0.75,0.001,6.0,0.0,0.0,0.0
cal_10_0.75_0.001_monthly_data_7,10.0,0.75,0.001,7.0,0.0,0.0,0.0
cal_10_0.75_0.001_monthly_data_8,10.0,0.75,0.001,8.0,0.0,0.0,0.0
cal_10_0.75_0.001_monthly_data_9,10.0,0.75,0.001,9.0,0.0,0.0,0.0
cal_10_0.75_0.005_monthly_data_0,10.0,0.75,0.005,0.0,0.0,0.0,0.0
cal_10_0.75_0.005_monthly_data_1,10.0,0.75,0.005,1.0,0.0,0.0,0.0
cal_10_0.75_0.005_monthly_data_2,10.0,0.75,0.005,2.0,0.0,0.0,0.0
cal_10_0.75_0.005_monthly_data_3,10.0,0.75,0.005,3.0,0.0,0.0,0.0
cal_10_0.75_0.005_monthly_data_4,10.0,0.75,0.005,4.0,0.0,0.0,0.0
cal_10_0.75_0.005_monthly_data_5,10.0,0.75,0.005,5.0,0.0,0.0,0.0
cal_10_0.75_0.005_monthly_data_6,10.0,0.75,0.005,6.0,0.0,0.0,0.0
cal_10_0.75_0.005_monthly_data_7,10.0,0.75,0.005,7.0,0.0,0.0,0.0
cal_10_0.75_0.005_monthly_data_8,10.0,0.75,0.005,8.0,0.0,0.0,0.0
cal_10_0.75_0.005_monthly_data_9,10.0,0.75,0.005,9.0,0.0,0.0,0.0
cal_10_0.75_0.01_monthly_data_0,10.0,0.75,0.01,0.0,0.0,0.0,0.0
cal_10_0.75_0.01_monthly_data_1,10.0,0.75,0.01,1.0,0.0,0.0,0.0
cal_10_0.75_0.01_monthly_data_2,10.0,0.75,0.01,2.0,0.0,0.0,0.0
cal_10_0.75_0.01_monthly_data_3,10.0,0.75,0.01,3.0,0.0,0.0,0.0
cal_10_0.75_0.01_monthly_data_4,10.0,0.75,0.01,4.0,0.0,0.0,0.0
cal_10_0.75_0.01_monthly_data_5,10.0,0.75,0.01,5.0,0.0,0.0,0.0
cal_10_0.75_0.01_monthly_data_6,10.0,0.75,0.01,6.0,0.0,0.0,0.0
cal_10_0.75_0.01_monthly_data_7,10.0,0.75,0.01,7.0,0.0,0.0,0.0
cal_10_0.75_0.01_monthly_data_8,10.0,0.75,0.01,8.0,0.0,0.0,0.0
cal_10_0.75_0.01_monthly_data_9,10.0,0.75,0.01,9.0,0.0,0.0,0.0
cal_25_0.55_0.001_monthly_data_0,25.0,0.55,0.001,0.0,0.0,0.0,0.0
cal_25_0.55_0.001_monthly_data_1,25.0,0.55,0.001,1.0,0.0,0.0,0.0
cal_25_0.55_0.001_monthly_data_2,25.0,0.55,0.001,2.0,0.0,0.0,0.0
cal_25_0.55_0.001_monthly_data_3,25.0,0.55,0.001,3.0,0.0,0.0,0.0
cal_25_0.55_0.001_monthly_data_4,25.0,0.55,0.001,4.0,0.0,0.0,0.0
cal_25_0.55_0.001_monthly_data_5,25.0,0.55,0.001,5.0,0.0,0.0,0.0
cal_25_0.55_0.001_monthly_data_6,25.0,0.55,0.001,6.0,0.0,0.0,0.0
cal_25_0.55_0.001_monthly_data_7,25.0,0.55,0.001,7.0,0.0,0.0,0.0
cal_25_0.55_0.001_monthly_data_8,25.0,0.55,0.001,8.0,0.0,0.0,0.0
cal_25_0.55_0.001_monthly_data_9,25.0,0.55,0.001,9.0,0.0,0.0,0.0
cal_25_0.55_0.005_monthly_data_0,25.0,0.55,0.005,0.0,0.0,0.0,0.0
cal_25_0.55_0.005_monthly_data_1,25.0,0.55,0.005,1.0,0.0,0.0,0.0
cal_25_0.55_0.005_monthly_data_2,25.0,0.55,0.005,2.0,0.0,0.0,0.0
cal_25_0.55_0.005_monthly_data_3,25.0,0.55,0.005,3.0,0.0,0.0,0.0
cal_25_0.55_0.005_monthly_data_4,25.0,0.55,0.005,4.0,0.0,0.0,0.0
cal_25_0.55_0.005_monthly_data_5,25.0,0.55,0.005,5.0,0.0,0.0,0.0
cal_25_0.55_0.005_monthly_data_6,25.0,0.55,0.005,6.0,0.0,0.0,0.0
cal_25_0.55_0.005_monthly_data_7,25.0,0.55,0.005,7.0,0.0,0.0,0.0
cal_25_0.55_0.005_monthly_data_8,25.0,0.55,0.005,8.0,0.0,0.0,0.0
cal_25_0.55_0.005_monthly_data_9,25.0,0.55,0.005,9.0,0.0,0.0,0.0
cal_25_0.55_0.01_monthly_data_0,25.0,0.55,0.01,0.0,0.0,0.0,0.0
cal_25_0.55_0.01_monthly_data_1,25.0,0.55,0.01,1.0,0.0,0.0,0.0
cal_25_0.55_0.01_monthly_data_2,25.0,0.55,0.01,2.0,0.0,0.0,0.0
cal_25_0.55_0.01_monthly_data_3,25.0,0.55,0.01,3.0,0.0,0.0,0.0
cal_25_0.55_0.01_monthly_data_4,25.0,0.55,0.01,4.0,0.0,0.0,0.0
cal_25_0.55_0.01_monthly_data_5,25.0,0.55,0.01,5.0,0.0,0.0,0.0
cal_25_0.55_0.01_monthly_data_6,25.0,0.55,0.01,6.0,0.0,0.0,0.0
cal_25_0.55_0.01_monthly_data_7,25.0,0.55,0.01,7.0,0.0,0.0,0.0
cal_25_0.55_0.01_monthly_data_8,25.0,0.55,0.01,8.0,0.0,0.0,0.0
cal_25_0.55_0.01_monthly_data_9,25.0,0.55,0.01,9.0,0.0,0.0,0.0
cal_25_0.65_0.001_monthly_data_0,25.0,0.65,0.001,0.0,0.0,0.0,0.0
cal_25_0.65_0.001_monthly_data_1,25.0,0.65,0.001,1.0,0.0,0.0,0.0
cal_25_0.65_0.001_monthly_data_2,25.0,0.65,0.001,2.0,0.0,0.0,0.0
cal_25_0.65_0.001_monthly_data_3,25.0,0.65,0.001,3.0,0.0,0.0,0.0
cal_25_0.65_0.001_monthly_data_4,25.0,0.65,0.001,4.0,0.0,0.0,0.0
cal_25_0.65_0.001_monthly_data_5,25.0,0.65,0.001,5.0,0.0,0.0,0.0
cal_25_0.65_0.001_monthly_data_6,25.0,0.65,0.001,6.0,0.0,0.0,0.0
cal_25_0.65_0.001_monthly_data_7,25.0,0.65,0.001,7.0,0.0,0.0,0.0
cal_25_0.65_0.001_monthly_data_8,25.0,0.65,0.001,8.0,0.0,0.0,0.0
cal_25_0.65_0.001_monthly_data_9,25.0,0.65,0.001,9.0,0.0,0.0,0.0
cal_25_0.65_0.005_monthly_data_0,25.0,0.65,0.005,0.0,0.0,0.0,0.0
cal_25_0.65_0.005_monthly_data_1,25.0,0.65,0.005,1.0,0.0,0.0,0.0
cal_25_0.65_0.005_monthly_data_2,25.0,0.65,0.005,2.0,0.0,0.0,0.0
cal_25_0.65_0.005_monthly_data_3,25.0,0.65,0.005,3.0,0.0,0.0,0.0
cal_25_0.65_0.005_monthly_data_4,25.0,0.65,0.005,4.0,0.0,0.0,0.0
cal_25_0.65_0.005_monthly_data_5,25.0,0.65,0.005,5.0,0.0,0.0,0.0
cal_25_0.65_0.005_monthly_data_6,25.0,0.65,0.005,6.0,0.0,0.0,0.0
cal_25_0.65_0.005_monthly_data_7,25.0,0.65,0.005,7.0,0.0,0.0,0.0
cal_25_0.65_0.005_monthly_data_8,25.0,0.65,0.005,8.0,0.0,0.0,0.0
cal_25_0.65_0.005_monthly_data_9,25.0,0.65,0.005,9.0,0.0,0.0,0.0
cal_25_0.65_0.01_monthly_data_0,25.0,0.65,0.01,0.0,0.0,0.0,0.0
cal_25_0.65_0.01_monthly_data_1,25.0,0.65,0.01,1.0,0.0,0.0,0.0
cal_25_0.65_0.01_monthly_data_2,25.0,0.65,0.01,2.0,0.0,0.0,0.0
cal_25_0.65_0.01_monthly_data_3,25.0,0.65,0.01,3.0,0.0,0.0,0.0
cal_25_0.65_0.01_monthly_data_4,25.0,0.65,0.01,4.0,0.0,0.0,0.0
cal_25_0.65_0.01_monthly_data_5,25.0,0.65,0.01,5.0,0.0,0.0,0.0
cal_25_0.65_0.01_monthly_data_6,25.0,0.65,0.01,6.0,0.0,0.0,0.0
cal_25_0.65_0.01_monthly_data_7,25.0,0.65,0.01,7.0,0.0,0.0,0.0
cal_25_0.65_0.01_monthly_data_8,25.0,0.65,0.01,8.0,0.0,0.0,0.0
cal_25_0.65_0.01_monthly_data_9,25.0,0.65,0.01,9.0,0.0,0.0,0.0
cal_25_0.75_0.001_monthly_data_0,25.0,0.75,0.001,0.0,0.0,0.0,0.0
cal_25_0.75_0.001_monthly_data_1,25.0,0.75,0.001,1.0,0.0,0.0,0.0
cal_25_0.75_0.001_monthly_data_2,25.0,0.75,0.001,2.0,0.0,0.0,0.0
cal_25_0.75_0.001_monthly_data_3,25.0,0.75,0.001,3.0,0.0,0.0,0.0
cal_25_0.75_0.001_monthly_data_4,25.0,0.75,0.001,4.0,0.0,0.0,0.0
cal_25_0.75_0.001_monthly_data_5,25.0,0.75,0.001,5.0,0.0,0.0,0.0
cal_25_0.75_0.001_monthly_data_6,25.0,0.75,0.001,6.0,0.0,0.0,0.0
cal_25_0.75_0.001_monthly_data_7,25.0,0.75,0.001,7.0,0.0,0.0,0.0
cal_25_0.75_0.001_monthly_data_8,25.0,0.75,0.001,8.0,0.0,0.0,0.0
cal_25_0.75_0.001_monthly_data_9,25.0,0.75,0.001,9.0,0.0,0.0,0.0
cal_25_0.75_0.005_monthly_data_0,25.0,0.75,0.005,0.0,0.0,0.0,0.0
cal_25_0.75_0.005_monthly_data_1,25.0,0.75,0.005,1.0,0.0,0.0,0.0
cal_25_0.75_0.005_monthly_data_2,25.0,0.75,0.005,2.0,0.0,0.0,0.0
cal_25_0.75_0.005_monthly_data_3,25.0,0.75,0.005,3.0,0.0,0.0,0.0
cal_25_0.75_0.005_monthly_data_4,25.0,0.75,0.005,4.0,0.0,0.0,0.0
cal_25_0.75_0.005_monthly_data_5,25.0,0.75,0.005,5.0,0.0,0.0,0.0
cal_25_0.75_0.005_monthly_data_6,25.0,0.75,0.005,6.0,0.0,0.0,0.0
cal_25_0.75_0.005_monthly_data_7,25.0,0.75,0.005,7.0,0.0,0.0,0.0
cal_25_0.75_0.005_monthly_data_8,25.0,0.75,0.005,8.0,0.0,0.0,0.0
cal_25_0.75_0.005_monthly_data_9,25.0,0.75,0.005,9.0,0.0,0.0,0.0
cal_25_0.75_0.01_monthly_data_0,25.0,0.75,0.01,0.0,0.0,0.0,0.0
cal_25_0.75_0.01_monthly_data_1,25.0,0.75,0.01,1.0,0.0,0.0,0.0
cal_25_0.75_0.01_monthly_data_2,25.0,0.75,0.01,2.0,0.0,0.0,0.0
cal_25_0.75_0.01_monthly_data_3,25.0,0.75,0.01,3.0,0.0,0.0,0.0
cal_25_0.75_0.01_monthly_data_4,25.0,0.75,0.01,4.0,0.0,0.0,0.0
cal_25_0.75_0.01_monthly_data_5,25.0,0.75,0.01,5.0,0.0,0.0,0.0
cal_25_0.75_0.01_monthly_data_6,25.0,0.75,0.01,6.0,0.0,0.0,0.0
cal_25_0.75_0.01_monthly_data_7,25.0,0.75,0.01,7.0,0.0,0.0,0.0
cal_25_0.75_0.01_monthly_data_8,25.0,0.75,0.01,8.0,0.0,0.0,0.0
cal_25_0.75_0.01_monthly_data_9,25.0,0.75,0.01,9.0,0.0,0.0,0.0
cal_50_0.55_0.001_monthly_data_0,50.0,0.55,0.001,0.0,0.0,0.0,0.0
cal_50_0.55_0.001_monthly_data_1,50.0,0.55,0.001,1.0,0.0,0.0,0.0
cal_50_0.55_0.001_monthly_data_2,50.0,0.55,0.001,2.0,0.0,0.0,0.0
cal_50_0.55_0.001_monthly_data_3,50.0,0.55,0.001,3.0,0.0,0.0,0.0
cal_50_0.55_0.001_monthly_data_4,50.0,0.55,0.001,4.0,0.0,0.0,0.0
cal_50_0.55_0.001_monthly_data_5,50.0,0.55,0.001,5.0,0.0,0.0,0.0
cal_50_0.55_0.001_monthly_data_6,50.0,0.55,0.001,6.0,0.0,0.0,0.0
cal_50_0.55_0.001_monthly_data_7,50.0,0.55,0.001,7.0,0.0,0.0,0.0
cal_50_0.55_0.001_monthly_data_8,50.0,0.55,0.001,8.0,0.0,0.0,0.0
cal_50_0.55_0.001_monthly_data_9,50.0,0.55,0.001,9.0,0.0,0.0,0.0
cal_50_0.55_0.005_monthly_data_0,50.0,0.55,0.005,0.0,0.0,0.0,0.0
cal_50_0.55_0.005_monthly_data_1,50.0,0.55,0.005,1.0,0.0,0.0,0.0
cal_50_0.55_0.005_monthly_data_2,50.0,0.55,0.005,2.0,0.0,0.0,0.0
cal_50_0.55_0.005_monthly_data_3,50.0,0.55,0.005,3.0,0.0,0.0,0.0
cal_50_0.55_0.005_monthly_data_4,50.0,0.55,0.005,4.0,0.0,0.0,0.0
cal_50_0.55_0.005_monthly_data_5,50.0,0.55,0.005,5.0,0.0,0.0,0.0
cal_50_0.55_0.005_monthly_data_6,50.0,0.55,0.005,6.0,0.0,0.0,0.0
cal_50_0.55_0.005_monthly_data_7,50.0,0.55,0.005,7.0,0.0,0.0,0.0
cal_50_0.55_0.005_monthly_data_8,50.0,0.55,0.005,8.0,0.0,0.0,0.0
cal_50_0.55_0.005_monthly_data_9,50.0,0.55,0.005,9.0,0.0,0.0,0.0
cal_50_0.55_0.01_monthly_data_0,50.0,0.55,0.01,0.0,0.0,0.0,0.0
cal_50_0.55_0.01_monthly_data_1,50.0,0.55,0.01,1.0,0.0,0.0,0.0
cal_50_0.55_0.01_monthly_data_2,50.0,0.55,0.01,2.0,0.0,0.0,0.0
cal_50_0.55_0.01_monthly_data_3,50.0,0.55,0.01,3.0,0.0,0.0,0.0
cal_50_0.55_0.01_monthly_data_4,50.0,0.55,0.01,4.0,0.0,0.0,0.0
cal_50_0.55_0.01_monthly_data_5,50.0,0.55,0.01,5.0,0.0,0.0,0.0
cal_50_0.55_0.01_monthly_data_6,50.0,0.55,0.01,6.0,0.0,0.0,0.0
cal_50_0.55_0.01_monthly_data_7,50.0,0.55,0.01,7.0,0.0,0.0,0.0
cal_50_0.55_0.01_monthly_data_8,50.0,0.55,0.01,8.0,0.0,0.0,0.0
cal_50_0.55_0.01_monthly_data_9,50.0,0.55,0.01,9.0,0.0,0.0,0.0
cal_50_0.65_0.001_monthly_data_0,50.0,0.65,0.001,0.0,0.0,0.0,0.0
cal_50_0.65_0.001_monthly_data_1,50.0,0.65,0.001,1.0,0.0,0.0,0.0
cal_50_0.65_0.001_monthly_data_2,50.0,0.65,0.001,2.0,0.0,0.0,0.0
cal_50_0.65_0.001_monthly_data_3,50.0,0.65,0.001,3.0,0.0,0.0,0.0
cal_50_0.65_0.001_monthly_data_4,50.0,0.65,0.001,4.0,0.0,0.0,0.0
cal_50_0.65_0.001_monthly_data_5,50.0,0.65,0.001,5.0,0.0,0.0,0.0
cal_50_0.65_0.001_monthly_data_6,50.0,0.65,0.001,6.0,0.0,0.0,0.0
cal_50_0.65_0.001_monthly_data_7,50.0,0.65,0.001,7.0,0.0,0.0,0.0
cal_50_0.65_0.001_monthly_data_8,50.0,0.65,0.001,8.0,0.0,0.0,0.0
cal_50_0.65_0.001_monthly_data_9,50.0,0.65,0.001,9.0,0.0,0.0,0.0
cal_50_0.65_0.005_monthly_data_0,50.0,0.65,0.005,0.0,0.0,0.0,0.0
cal_50_0.65_0.005_monthly_data_1,50.0,0.65,0.005,1.0,0.0,0.0,0.0
cal_50_0.65_0.005_monthly_data_2,50.0,0.65,0.005,2.0,0.0,0.0,0.0
cal_50_0.65_0.005_monthly_data_3,50.0,0.65,0.005,3.0,0.0,0.0,0.0
cal_50_0.65_0.005_monthly_data_4,50.0,0.65,0.005,4.0,0.0,0.0,0.0
